DataSize,BestCase,WorstCase,AverageCase
10,16,30,23
15,34,73,54
20,77,114,90
25,114,165,141
30,152,261,207
35,250,350,299
40,348,437,386
45,422,598,489
50,519,690,613
55,610,813,712
60,833,1018,883
65,923,1126,1055
70,1006,1402,1217
75,1284,1615,1438
80,1393,1703,1599
85,1571,2049,1789
90,1650,2172,1953
95,1953,2457,2184
100,2310,2966,2507
